[2025-11-24 18:22:43] REGISTRO → Robot 0
[2025-11-24 18:22:43] REGISTRO → Robot 1
[2025-11-24 18:22:43] REGISTRO → Robot 2
[2025-11-24 18:23:26] REGISTRO → Robot 0
[2025-11-24 18:23:26] REGISTRO → Robot 1
[2025-11-24 18:23:26] REGISTRO → Robot 2
[2025-11-24 18:23:44] REGISTRO → Robot 0
[2025-11-24 18:23:44] REGISTRO → Robot 1
[2025-11-24 18:23:44] REGISTRO → Robot 2
[2025-11-24 18:25:14] REGISTRO → Robot 0
[2025-11-24 18:25:14] REGISTRO → Robot 1
[2025-11-24 18:25:14] REGISTRO → Robot 2
[2025-11-24 18:25:15] ENVIADO → id=1, ang=0.0, dist=0.0, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-53.870624417320926, dist=0.6547865262940148, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=53.94173413258912, dist=0.6547865262940148, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-53.870624417320926, dist=0.6547865262940148, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=53.94173413258912, dist=0.6547865262940148, Out=0
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-53.870624417320926, dist=0.6547865262940148, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=53.94173413258912, dist=0.6547865262940148, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-58.43014758858405, dist=0.6467470276614549, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=123.81326768013025, dist=0.6467470276614549, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-58.43014758858405, dist=0.6467470276614549, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=123.81326768013025, dist=0.6467470276614549, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-58.43014758858405, dist=0.6467470276614549, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=123.81326768013025, dist=0.6467470276614549, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-57.40696582156741, dist=0.6467470276614552, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=124.48914937401514, dist=0.6467470276614552, Out=0
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-58.30426777806065, dist=0.6467470276614552, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=123.90145550988223, dist=0.6467470276614552, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-58.43014758858405, dist=0.6467470276614549, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=123.81326768013025, dist=0.6467470276614549, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-57.40696582156741, dist=0.6467470276614552, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=124.48914937401514, dist=0.6467470276614552, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-57.40696582156741, dist=0.6467470276614552, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=124.48914937401514, dist=0.6467470276614552, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-58.43014758858405, dist=0.6467470276614549, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=123.81326768013025, dist=0.6467470276614549, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-48.43850513862611, dist=0.6280735479412636, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=110.45388398474773, dist=0.6280735479412636, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-58.30426777806065, dist=0.6467470276614552, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=123.90145550988223, dist=0.6467470276614552, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-58.43014758858405, dist=0.6467470276614549, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=123.81326768013025, dist=0.6467470276614549, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-57.40696582156741, dist=0.6467470276614552, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=124.48914937401514, dist=0.6467470276614552, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-67.5278898788304, dist=0.6539962462179919, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=111.13186371848525, dist=0.6539962462179919, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-63.40571769996221, dist=0.6464714777043757, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=67.39504192900984, dist=0.6464714777043757, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-63.546551317949934, dist=0.6464714777043755, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=67.39024216574012, dist=0.6464714777043755, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-63.40571769996221, dist=0.6464714777043757, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=67.39504192900984, dist=0.6464714777043757, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-93.72483532507805, dist=0.6578622275394638, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=94.51977031230865, dist=0.6578622275394638, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-93.72483532507805, dist=0.6578622275394638, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=94.51977031230865, dist=0.6578622275394638, Out=1
[2025-11-24 18:26:43] ENVIADO → id=0, ang=-65.21247215972093, dist=0.6483614284442581, Out=0
[2025-11-24 18:26:43] ENVIADO → id=1, ang=115.36602038685612, dist=0.6483614284442581, Out=0
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-67.0863084184597, dist=0.6553526702536677, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=73.63298122613816, dist=0.6553526702536677, Out=1
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-66.97533676658617, dist=0.6557833437440924, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=100.03997348937492, dist=0.6557833437440924, Out=1
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-62.48361795525216, dist=0.6464714777043757, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=68.33246666686654, dist=0.6464714777043757, Out=1
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-67.95889153691607, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=72.6617696933377, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-64.2716172634231, dist=0.6483595640982912, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=62.95576687344857, dist=0.6483595640982912, Out=1
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-64.2163588047563, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=62.93560752075689, dist=0.6483595640982914, Out=1
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-63.40571769996221, dist=0.6464714777043757, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=67.39504192900984, dist=0.6464714777043757, Out=1
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-69.45545138138749, dist=0.6641690936918951, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=64.91440470453284, dist=0.6641690936918951, Out=1
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-62.48361795525216, dist=0.6464714777043757, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=68.33246666686654, dist=0.6464714777043757, Out=1
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=1
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=1
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-64.2163588047563, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=62.93560752075689, dist=0.6483595640982914, Out=1
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-64.2163588047563, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=62.93560752075689, dist=0.6483595640982914, Out=1
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-64.2163588047563, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=62.93560752075689, dist=0.6483595640982914, Out=1
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-63.40571769996221, dist=0.6464714777043757, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=67.39504192900984, dist=0.6464714777043757, Out=1
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-63.40571769996221, dist=0.6464714777043757, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=67.39504192900984, dist=0.6464714777043757, Out=1
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-63.40571769996221, dist=0.6464714777043757, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=67.39504192900984, dist=0.6464714777043757, Out=1
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-64.2163588047563, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=62.93560752075689, dist=0.6483595640982914, Out=1
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-67.95889153691607, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=72.6617696933377, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-64.2163588047563, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=62.93560752075689, dist=0.6483595640982914, Out=1
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-64.2163588047563, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=62.93560752075689, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-66.59569202123681, dist=0.6494000971232801, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=54.461625083996466, dist=0.6494000971232801, Out=1
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-66.59569202123681, dist=0.6494000971232801, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=54.461625083996466, dist=0.6494000971232801, Out=1
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-67.95889153691607, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=72.6617696933377, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:44] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:44] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-62.48361795525216, dist=0.6464714777043757, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=68.33246666686654, dist=0.6464714777043757, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-62.48361795525216, dist=0.6464714777043757, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=68.33246666686654, dist=0.6464714777043757, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-62.48361795525216, dist=0.6464714777043757, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=68.33246666686654, dist=0.6464714777043757, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-67.95889153691607, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=72.6617696933377, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-67.95889153691607, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=72.6617696933377, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-67.95889153691607, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=72.6617696933377, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-67.95889153691607, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=72.6617696933377, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-67.95889153691607, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=72.6617696933377, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-67.02699472384319, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=73.6373259100842, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-67.95889153691607, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=72.6617696933377, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-67.95889153691607, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=72.6617696933377, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-69.45545138138749, dist=0.6641690936918951, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=64.91440470453284, dist=0.6641690936918951, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-69.45545138138749, dist=0.6641690936918951, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=64.91440470453284, dist=0.6641690936918951, Out=1
[2025-11-24 18:26:45] ENVIADO → id=0, ang=-69.45545138138749, dist=0.6641690936918951, Out=0
[2025-11-24 18:26:45] ENVIADO → id=1, ang=64.91440470453284, dist=0.6641690936918951, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-64.2163588047563, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=62.93560752075689, dist=0.6483595640982914, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-64.2163588047563, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=62.93560752075689, dist=0.6483595640982914, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-67.95889153691607, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=72.6617696933377, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-67.95889153691607, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=72.6617696933377, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-64.2163588047563, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=62.93560752075689, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-64.2163588047563, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=62.93560752075689, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-64.2163588047563, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=62.93560752075689, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-64.2163588047563, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=62.93560752075689, dist=0.6483595640982914, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-64.2163588047563, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=62.93560752075689, dist=0.6483595640982914, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-67.02699472384319, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=73.6373259100842, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-67.02699472384319, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=73.6373259100842, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-67.02699472384319, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=73.6373259100842, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-67.02699472384319, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=73.6373259100842, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-64.2163588047563, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=62.93560752075689, dist=0.6483595640982914, Out=0
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-67.02699472384319, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=73.6373259100842, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-67.02699472384319, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=73.6373259100842, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-67.02699472384319, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=73.6373259100842, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-67.02699472384319, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=73.6373259100842, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-65.14349569940251, dist=0.6483595640982915, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=62.16462655016426, dist=0.6483595640982915, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-67.95889153691607, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=72.6617696933377, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:46] ENVIADO → id=0, ang=-67.95889153691607, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:46] ENVIADO → id=1, ang=72.6617696933377, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:47] ENVIADO → id=0, ang=-67.95889153691607, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:47] ENVIADO → id=1, ang=72.6617696933377, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:47] ENVIADO → id=0, ang=-67.95889153691607, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:47] ENVIADO → id=1, ang=72.6617696933377, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:47] ENVIADO → id=0, ang=-67.95889153691607, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:47] ENVIADO → id=1, ang=72.6617696933377, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:47] ENVIADO → id=0, ang=-67.02699472384319, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:47] ENVIADO → id=1, ang=73.6373259100842, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:47] ENVIADO → id=0, ang=-63.40571769996221, dist=0.6464714777043757, Out=0
[2025-11-24 18:26:47] ENVIADO → id=1, ang=67.39504192900984, dist=0.6464714777043757, Out=1
[2025-11-24 18:26:47] ENVIADO → id=0, ang=-67.95889153691607, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:47] ENVIADO → id=1, ang=72.6617696933377, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:47] ENVIADO → id=0, ang=-67.95889153691607, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:47] ENVIADO → id=1, ang=72.6617696933377, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:47] ENVIADO → id=0, ang=-67.95889153691607, dist=0.6553526702536678, Out=0
[2025-11-24 18:26:47] ENVIADO → id=1, ang=72.6617696933377, dist=0.6553526702536678, Out=1
[2025-11-24 18:26:47] ENVIADO → id=0, ang=-63.40571769996221, dist=0.6464714777043757, Out=0
[2025-11-24 18:26:47] ENVIADO → id=1, ang=67.39504192900984, dist=0.6464714777043757, Out=1
[2025-11-24 18:26:47] ENVIADO → id=0, ang=-63.40571769996221, dist=0.6464714777043757, Out=0
[2025-11-24 18:26:47] ENVIADO → id=1, ang=67.39504192900984, dist=0.6464714777043757, Out=1
